t, Obs_Wetland Cell 1 Water depth (m)_expression
40178.80000,0.799783
40178.81000,0.799543
40178.82000,0.799409
40178.83000,0.799276
40178.84000,0.799143
40178.85000,0.799009
40178.86000,0.798876
40178.87000,0.798743
40178.88000,0.79861
40178.89000,0.798476
40178.90000,0.798355
40178.91000,0.798255
40178.92000,0.798155
40178.93000,0.798055
40178.94000,0.797955
40178.95000,0.797855
40178.96000,0.797755
40178.97000,0.797655
40178.98000,0.797555
40178.99000,0.797455
40179.00000,0.797355
40179.01000,0.797255
40179.02000,0.797155
40179.03000,0.797055
40179.04000,0.796955
40179.05000,0.796855
40179.06000,0.796755
40179.07000,0.796655
40179.08000,0.796555
40179.09000,0.796456
40179.10000,0.796356
40179.11000,0.796256
40179.12000,0.796156
40179.13000,0.796056
40179.14000,0.795956
40179.15000,0.795856
40179.16000,0.795756
40179.17000,0.795656
40179.18000,0.795556
40179.19000,0.795456
40179.20000,0.795356
40179.21000,0.795256
40179.22000,0.795156
40179.23000,0.795056
40179.24000,0.794956
40179.25000,0.794856
40179.26000,0.794756
40179.27000,0.794656
40179.28000,0.794554
40179.29000,0.794449
40179.30000,0.794344
40179.31000,0.794239
40179.32000,0.794125
40179.33000,0.793974
40179.34000,0.793823
40179.35000,0.793673
40179.36000,0.793522
40179.37000,0.793319
40179.38000,0.793117
40179.39000,0.792914
40179.40000,0.792712
40179.41000,0.792478
40179.42000,0.792235
40179.43000,0.791993
40179.44000,0.791751
40179.45000,0.791496
40179.46000,0.791232
40179.47000,0.790968
40179.48000,0.790705
40179.49000,0.79044
40179.50000,0.790175
40179.51000,0.789911
40179.52000,0.789646
40179.53000,0.789384
40179.54000,0.789139
40179.55000,0.788894
40179.56000,0.788649
40179.57000,0.788404
40179.58000,0.788195
40179.59000,0.787989
40179.60000,0.787782
40179.61000,0.787576
40179.62000,0.787406
40179.63000,0.78725
40179.64000,0.787094
40179.65000,0.786937
40179.66000,0.786804
40179.67000,0.786691
40179.68000,0.786579
40179.69000,0.786466
40179.70000,0.786357
40179.71000,0.786257
40179.72000,0.786156
40179.73000,0.786056
40179.74000,0.785955
40179.75000,0.785855
40179.76000,0.785754
40179.77000,0.785654
40179.78000,0.785553
40179.79000,0.785452
40179.80000,0.785352
40179.81000,0.785251
40179.82000,0.785151
40179.83000,0.78505
