t,Obs_Wetland Cell 1 Water depth (m)_expression_noisy
40178.8,0.730662415290481
40178.81,0.73623733996952
40178.82,0.75710974662259
40178.83,0.742735068237322
40178.84,0.741120001096919
40178.85,0.744282680571899
40178.86,0.713286560450215
40178.87,0.712826149907631
40178.88,0.755953502320637
40178.89,0.795805572658099
40178.9,0.776612816751404
40178.91,0.741595579191281
40178.92,0.707070960235213
40178.93,0.712696244605059
40178.94,0.707014907999506
40178.95,0.725598508026359
40178.96,0.727520111978106
40178.97,0.738051714758363
40178.98,0.755951264504
40178.99,0.755967572244446
40179,0.779831639456478
40179.01,0.803015945209189
40179.02,0.793393697156796
40179.03,0.810929461601769
40179.04,0.832166347266725
40179.05,0.782688136864019
40179.06,0.766687321707538
40179.07,0.781113163099644
40179.08,0.803131037288244
40179.09,0.823729285366683
40179.1,0.791183247544052
40179.11,0.784821469345904
40179.12,0.786210522259293
40179.13,0.801718186754769
40179.14,0.765420491798778
40179.15,0.804257561873985
40179.16,0.809729744023051
40179.17,0.857496446416829
40179.18,0.863111002337046
40179.19,0.896115634004167
40179.2,0.904255226157279
40179.21,0.864244546225012
40179.22,0.855701611891509
40179.23,0.87741427837698
40179.24,0.868195497542397
40179.25,0.897958113641769
40179.26,0.88556031741167
40179.27,0.865438358992125
40179.28,0.863121340246346
40179.29,0.901459790078274
40179.3,0.897123044203093
40179.31,0.860838700931589
40179.32,0.860289017971677
40179.33,0.82452340987074
40179.34,0.812914681563485
40179.35,0.809349452388225
40179.36,0.833204925360023
40179.37,0.839188795304119
40179.38,0.834225181976568
40179.39,0.822113267731026
40179.4,0.819647859621448
40179.41,0.787523463244426
40179.42,0.800095321884347
40179.43,0.803075507087742
40179.44,0.829679564942171
40179.45,0.833961057740362
40179.46,0.824722506399066
40179.47,0.855954873568642
40179.48,0.85457320756274
40179.49,0.844834765214417
40179.5,0.834513481052512
40179.51,0.832406461980425
40179.52,0.857346380723601
40179.53,0.815399737190508
40179.54,0.790041498830653
40179.55,0.765245317906742
40179.56,0.719992906651465
40179.57,0.720897592936275
40179.58,0.719663810675397
40179.59,0.701822250278333
40179.6,0.705120373241585
40179.61,0.702552659006912
40179.62,0.685104005784772
40179.63,0.690166817491862
40179.64,0.662699230519943
40179.65,0.693675203097011
40179.66,0.750834128890499
40179.67,0.748864677568965
40179.68,0.754622789641537
40179.69,0.790387644988363
40179.7,0.80420814325494
40179.71,0.786993840225315
40179.72,0.775408430942344
40179.73,0.814229580936597
40179.74,0.801691447120468
40179.75,0.81913857768453
40179.76,0.783361376901971
40179.77,0.776178866095423
40179.78,0.775884763780691
40179.79,0.802137540898195
40179.8,0.845508191769004
40179.81,0.883837052176397
40179.82,0.853915902130647
40179.83,0.840878654819276
40179.84,0.817893715903482
40179.85,0.801998573099065
40179.86,0.807856694255038
40179.87,0.800234386826762
40179.88,0.817895211615934
40179.89,0.767512481921644
40179.9,0.760522904329936
40179.91,0.783064884860996
40179.92,0.755114604344056
40179.93,0.740040619245911
40179.94,0.733765477722888
40179.95,0.722820244042301
40179.96,0.749532127986739
40179.97,0.758281026390353
40179.98,0.793097188490703
40179.99,0.783373818436434
40180,0.805162154137637
40180.01,0.793670388020589
40180.02,0.789801740390348
40180.03,0.786337968742596
40180.04,0.779277388682718
40180.05,0.733079913929682
40180.06,0.746990444308158
40180.07,0.730420252432416
40180.08,0.724554559299472
40180.09,0.761360886356821
40180.1,0.749272392486225
40180.11,0.76828372453388
40180.12,0.761890867697152
40180.13,0.75109085920219
40180.14,0.778757449740671
40180.15,0.778412300112287
40180.16,0.772224560222529
40180.17,0.777180930622491
40180.18,0.787108317016004
40180.19,0.74763873420655
40180.2,0.754495799972206
40180.21,0.734088062503788
40180.22,0.703378331547505
40180.23,0.707740479244321
40180.24,0.682354176297508
40180.25,0.660756738540205
40180.26,0.650936885520461
40180.27,0.647041169755852
40180.28,0.675477511820002
40180.29,0.672058462264118
40180.3,0.644668293401112
40180.31,0.632527440895333
40180.32,0.665984119090487
40180.33,0.680996297862523
40180.34,0.692053266118922
40180.35,0.682448948150092
40180.36,0.67413232836774
40180.37,0.725686814451447
40180.38,0.7670859551223
40180.39,0.789024811388335
40180.4,0.819301418030899
40180.41,0.7998547723562
40180.42,0.79142145494109
40180.43,0.745842651120954
40180.44,0.753733138110318
40180.45,0.7795973512582
40180.46,0.786904925537623
40180.47,0.74218157648835
40180.48,0.730395107064469
40180.49,0.745530750746999
40180.5,0.741388525704446
40180.51,0.743699652515595
40180.52,0.769773637073864
40180.53,0.758223682804644
40180.54,0.744946368205786
40180.55,0.780437852187773
40180.56,0.772917922291609
40180.57,0.73924926826301
40180.58,0.75547171537096
40180.59,0.747481383746214
40180.6,0.765989740884011
40180.61,0.723955593080651
40180.62,0.712260007541451
40180.63,0.754976897688617
40180.64,0.738120024407988
40180.65,0.762446426890914
40180.66,0.771641368543111
40180.67,0.763411862927328
40180.68,0.790651160858628
40180.69,0.790948118978838
40180.7,0.819975240101786
40180.71,0.798436968811732
40180.72,0.790109041763017
40180.73,0.779623438961214
40180.74,0.795964207705389
40180.75,0.804328045892287
40180.76,0.830545643439437
40180.77,0.808216294824613
40180.78,0.826136136582767
40180.79,0.823367688582196
40180.8,0.829594976606681
40180.81,0.789779833289747
40180.82,0.818169670321274
40180.83,0.82443381260323
40180.84,0.799171700271432
40180.85,0.783783221681619
40180.86,0.757040648325283
40180.87,0.740837192772086
40180.88,0.709060666162537
40180.89,0.696172172615686
40180.9,0.744808730308754
40180.91,0.735521908183667
40180.92,0.745824492680989
40180.93,0.763613666778126
40180.94,0.733360529798754
40180.95,0.760640538593374
40180.96,0.76529881431332
40180.97,0.784508788649802
40180.98,0.783121505596806
40180.99,0.7888467479758
40181,0.772567892977645
40181.01,0.784587902012788
40181.02,0.783962856211759
40181.03,0.759803922598141
40181.04,0.752925377774362
40181.05,0.751678191117633
40181.06,0.750317839013034
40181.07,0.772532141176113
40181.08,0.757513558995349
40181.09,0.759725089997252
40181.1,0.806279870299952
40181.11,0.823744300977612
40181.12,0.798034726625872
40181.13,0.823214380457718
40181.14,0.807349899889268
40181.15,0.779574386416632
40181.16,0.822034549357158
40181.17,0.843302732040385
40181.18,0.802997811293298
40181.19,0.827293315961779
40181.2,0.827935600730244
40181.21,0.857192942300222
40181.22,0.8525130473036
40181.23,0.877008065895791
40181.24,0.921504137844683
40181.25,0.932844103834788
40181.26,0.922938131380029
40181.27,0.948842438643371
40181.28,0.929440261475357
40181.29,0.863915990724631
40181.3,0.829946250081425
40181.31,0.819756249506964
40181.32,0.80108015183805
40181.33,0.758558879826681
40181.34,0.793011505490795
40181.35,0.823198149171878
40181.36,0.832705850866207
40181.37,0.812974489332158
40181.38,0.768138670436358
40181.39,0.787949815698881
40181.4,0.785282337047574
40181.41,0.812531007021173
40181.42,0.810803445588461
40181.43,0.809670384406129
40181.44,0.805086435583208
40181.45,0.802752925066476
40181.46,0.792162739984403
40181.47,0.78078121338608
40181.48,0.78618387520844
40181.49,0.739589738248892
40181.5,0.757837523604661
40181.51,0.750938965703064
40181.52,0.758939458356954
40181.53,0.727840288809968
40181.54,0.722876580178017
40181.55,0.731026721753495
40181.56,0.748771915218674
40181.57,0.742189754394989
40181.58,0.738016647029618
40181.59,0.724719379794087
40181.6,0.741477358247639
40181.61,0.768259914368747
40181.62,0.805299309125396
40181.63,0.802226662857429
40181.64,0.796045038922964
40181.65,0.810394546681451
40181.66,0.816284909235743
40181.67,0.813879160354072
40181.68,0.78498473403451
40181.69,0.808618282517673
40181.7,0.859481888579916
40181.71,0.824373776825596
40181.72,0.819117398311504
40181.73,0.814721849899843
40181.74,0.784422393932829
40181.75,0.763565059011443
40181.76,0.765145332619037
40181.77,0.709777658994852
40181.78,0.675251174872032
40181.79,0.654239216016462
40181.8,0.664187428553102
40181.81,0.653708595271258
40181.82,0.66188065849251
40181.83,0.687812769132815
40181.84,0.651493617209776
40181.85,0.646113830900096
40181.86,0.655898798006156
40181.87,0.668456676775932
40181.88,0.679012636955836
40181.89,0.650965008407795
40181.9,0.679701770915181
40181.91,0.713086935408778
40181.92,0.703007774955586
40181.93,0.738348413305844
40181.94,0.747196309402981
40181.95,0.741747388454522
40181.96,0.715770079633881
40181.97,0.722842547250911
40181.98,0.726860688628136
40181.99,0.74380400083978
40182,0.735813182512251
40182.01,0.72059127181986
40182.02,0.751137279048297
40182.03,0.722227775136558
40182.04,0.68525174026293
40182.05,0.677246722276492
40182.06,0.664832028032278
40182.07,0.661962185819152
40182.08,0.678782272368038
40182.09,0.644172681729047
40182.1,0.638050820713515
40182.11,0.646094461434022
40182.12,0.643365846256047
40182.13,0.633764308430736
40182.14,0.653746502452491
40182.15,0.655551686351884
40182.16,0.673682829262761
40182.17,0.651604198905273
40182.18,0.652815986494876
40182.19,0.644750222306068
40182.2,0.641629908088667
40182.21,0.645546433738604
40182.22,0.633583435301068
40182.23,0.645061674713472
40182.24,0.652360402825839
40182.25,0.640449792818435
40182.26,0.636216435843818
40182.27,0.618580463939441
40182.28,0.611581016297534
40182.29,0.591545406556741
40182.3,0.599650187849139
40182.31,0.58239472973868
40182.32,0.592348584272174
40182.33,0.592551069783271
40182.34,0.598588065094287
40182.35,0.61578102842172
40182.36,0.66262366429837
40182.37,0.651999283156312
40182.38,0.648066300905093
40182.39,0.653424785113909
40182.4,0.6310853665433
40182.41,0.658349967598374
40182.42,0.651903427378104
40182.43,0.639860408767565
40182.44,0.667423962650572
40182.45,0.681623529076247
40182.46,0.685824659349292
40182.47,0.699554487337784
40182.48,0.730231908105944
40182.49,0.727103243080108
40182.5,0.704355236449243
40182.51,0.699794500228387
40182.52,0.698947481191226
40182.53,0.676012496718395
40182.54,0.673456841578914
40182.55,0.647002313952688
40182.56,0.64903703115373
40182.57,0.649185876175165
40182.58,0.61091702325051
40182.59,0.596836006418675
40182.6,0.576545792755116
40182.61,0.591698640946441
40182.62,0.585368722288459
40182.63,0.56528666848304
40182.64,0.577398564720861
40182.65,0.563576069200857
40182.66,0.560986405627638
40182.67,0.544442896060864
40182.68,0.538232904302594
40182.69,0.556489956957742
40182.7,0.553403907802115
40182.71,0.556675915858507
40182.72,0.541097255074872
40182.73,0.556572519953392
40182.74,0.560150054200765
40182.75,0.57192795667941
40182.76,0.600332134968077
40182.77,0.622788121916832
40182.78,0.658452409736843
40182.79,0.679374393919481
40182.8,0.683675913429186
40182.81,0.67675823871198
40182.82,0.695047590330902
40182.83,0.70043513278252
40182.84,0.712325795641744
40182.85,0.744913831926052
40182.86,0.717559337721446
40182.87,0.722259346772861
40182.88,0.706263648455887
40182.89,0.694408556212969
40182.9,0.697264442477795
40182.91,0.68502800373447
40182.92,0.705339168290975
40182.93,0.703680889816516
40182.94,0.681777319320729
40182.95,0.653674017873054
40182.96,0.643589897733572
40182.97,0.656636890514998
40182.98,0.667036385633664
40182.99,0.684105312508326
40183,0.647263226031175
40183.01,0.665374638884617
40183.02,0.675990005817669
40183.03,0.684145666163973
40183.04,0.67468343054822
40183.05,0.724463709783454
40183.06,0.71817130093969
40183.07,0.749033628223617
40183.08,0.77042304590882
40183.09,0.772750591570355
40183.1,0.777868667265939
40183.11,0.78718873137038
40183.12,0.778102393206144
40183.13,0.760287422255722
40183.14,0.785170353823152
40183.15,0.787429014014143
40183.16,0.795808464617511
40183.17,0.791719307246354
40183.18,0.797729722562965
40183.19,0.759183234878383
40183.2,0.755197344868783
40183.21,0.73372664314921
40183.22,0.767639961919716
40183.23,0.74736769527474
40183.24,0.775888989041922
40183.25,0.770764716181158
40183.26,0.789774466857153
40183.27,0.784263270203475
40183.28,0.715741495209122
40183.29,0.722188459629599
40183.3,0.726009328725062
40183.31,0.712701532999658
40183.32,0.688787109229105
40183.33,0.669656211771822
40183.34,0.703767166408468
40183.35,0.673217667827361
40183.36,0.704002848390843
40183.37,0.728929927415133
40183.38,0.757780484953565
40183.39,0.759701037607541
40183.4,0.817007993343242
40183.41,0.82911016658838
40183.42,0.828656408141192
40183.43,0.871339359330411
40183.44,0.874104947217601
40183.45,0.880520338827891
40183.46,0.881709686596868
40183.47,0.888675979288696
40183.48,0.886981312019181
40183.49,0.894878024622048
40183.5,0.903698888561853
40183.51,0.890760126684936
40183.52,0.900982050663527
40183.53,0.913655383883317
40183.54,0.866111540015752
40183.55,0.84677937744381
40183.56,0.846111020141609
40183.57,0.842822090729791
40183.58,0.863947361072268
40183.59,0.905391803853262
40183.6,0.889576882157849
40183.61,0.94575890516353
40183.62,0.932603460991986
40183.63,0.926552035170377
40183.64,0.91073940495449
40183.65,0.926008048675825
40183.66,0.952328424047967
40183.67,0.903740008027676
40183.68,0.947737491766669
40183.69,0.948698507233301
40183.7,0.936563216370534
40183.71,0.920236284236808
40183.72,0.904698304208484
40183.73,0.84768816590449
40183.74,0.848033338718308
40183.75,0.825464539327082
40183.76,0.846444839706998
40183.77,0.839607386697701
40183.78,0.824124422695053
40183.79,0.807089628309391
40183.8,0.799300013467201
40183.81,0.798888452785782
40183.82,0.841515440143611
40183.83,0.848195018394894
40183.84,0.858546565589712
40183.85,0.922519318379001
40183.86,0.939614488840189
40183.87,0.908636690223621
40183.88,0.89615071184436
40183.89,0.932272508874974
40183.9,0.92384669388248
40183.91,0.935387239834945
40183.92,0.889187079658332
40183.93,0.928409590883548
40183.94,0.895503817306748
40183.95,0.899021475857022
40183.96,0.884573983813064
40183.97,0.882934055505276
40183.98,0.825532709658832
40183.99,0.816198881723073
40184,0.830591166051117
40184.01,0.816790727714208
40184.02,0.788976322485147
40184.03,0.793178808433925
40184.04,0.762866586479077
40184.05,0.757289026603471
40184.06,0.715339424949853
40184.07,0.712469576462734
40184.08,0.713309275881507
40184.09,0.695943551315964
40184.1,0.734690535225822
40184.11,0.704054581409733
40184.12,0.716585776057852
40184.13,0.712352110259443
40184.14,0.733760178317635
40184.15,0.705204812689452
40184.16,0.698450993909723
40184.17,0.705866502644588
40184.18,0.690450429226541
40184.19,0.673799612587265
40184.2,0.670708271296985
40184.21,0.651925728628309
40184.22,0.652993289926939
40184.23,0.664377619467065
40184.24,0.659932564499175
40184.25,0.631889668835289
40184.26,0.654107764357951
40184.27,0.641962399277513
40184.28,0.667920515717078
40184.29,0.650703754923647
40184.3,0.641312451037298
40184.31,0.649583204913048
40184.32,0.669923482739002
40184.33,0.676851311619768
40184.34,0.664255545018752
40184.35,0.662028226818652
40184.36,0.656277959794975
40184.37,0.671490016133324
40184.38,0.683477768242815
40184.39,0.699251793822849
40184.4,0.685738081748603
40184.41,0.687832444561398
40184.42,0.696834859149861
40184.43,0.670066384979605
40184.44,0.655482757936828
40184.45,0.666120824643086
40184.46,0.704318951783343
40184.47,0.706589464345932
40184.48,0.713482607385705
40184.49,0.693508785410292
40184.5,0.680292686078333
40184.51,0.672468549070422
40184.52,0.662163589746558
40184.53,0.710705242888966
40184.54,0.719177878625871
40184.55,0.727582098224435
40184.56,0.706701202656562
40184.57,0.714844447026105
40184.58,0.689199393161472
40184.59,0.705603494122799
40184.6,0.712267647819683
40184.61,0.695667672186651
40184.62,0.721388171042732
40184.63,0.700174419937796
40184.64,0.724421769859305
40184.65,0.735817846754064
40184.66,0.758474354643268
40184.67,0.746735586881615
40184.68,0.746438793591411
40184.69,0.736965028079664
40184.7,0.737241362695367
40184.71,0.716461847297451
40184.72,0.726708074065671
40184.73,0.70522934880869
40184.74,0.727898998008184
40184.75,0.744311731909036
40184.76,0.746965545651341
40184.77,0.738489310656594
40184.78,0.740272730143307
40184.79,0.697152154287057
40184.8,0.694060168911327
40184.81,0.725855949196519
40184.82,0.750380054024766
40184.83,0.764015411867706
40184.84,0.764429395739376
40184.85,0.766621986419719
40184.86,0.771614105707871
40184.87,0.762259827913411
40184.88,0.711069252612414
40184.89,0.705048629880396
40184.9,0.703624675812229
40184.91,0.71559062904294
40184.92,0.751714105437833
40184.93,0.7201506651868
40184.94,0.729198243454153
40184.95,0.715316019459046
40184.96,0.728128610761315
40184.97,0.749203365187662
40184.98,0.755739028582686
40184.99,0.744574725126654
40185,0.748367145334391
40185.01,0.783445457824573
40185.02,0.771384967830051
40185.03,0.774594925209439
40185.04,0.777505131913205
40185.05,0.761699254590435
40185.06,0.780142565980963
40185.07,0.78395156498089
40185.08,0.770028228392031
40185.09,0.757555640264951
40185.1,0.762529986750126
40185.11,0.746760723908884
40185.12,0.732337121780401
40185.13,0.685371032046106
40185.14,0.648119104946324
40185.15,0.661309302399515
40185.16,0.641658148430206
40185.17,0.636705464713459
40185.18,0.626700401283676
40185.19,0.618726558565955
40185.2,0.617475982274885
40185.21,0.618349800326918
40185.22,0.623353524951736
40185.23,0.627282207357563
40185.24,0.634383830544641
40185.25,0.653998768761711
40185.26,0.666762448125385
40185.27,0.676109177368674
40185.28,0.662198035306771
40185.29,0.676384936635054
40185.3,0.69401727876052
40185.31,0.693668172420979
40185.32,0.682908458158392
40185.33,0.686279650745058
40185.34,0.659804238684785
40185.35,0.650257477678288
40185.36,0.62182898701705
40185.37,0.606733254898621
40185.38,0.620861995533214
40185.39,0.641530172796654
40185.4,0.654277135801108
40185.41,0.673358241155769
40185.42,0.716709577764199
40185.43,0.687285747831173
40185.44,0.685994608225364
40185.45,0.685930538581253
40185.46,0.673804850887004
40185.47,0.648075023324935
40185.48,0.647885951725222
40185.49,0.662989794111303
40185.5,0.669818263531795
40185.51,0.684037317084506
40185.52,0.691135413302455
40185.53,0.689444151396574
40185.54,0.664465793296261
40185.55,0.671504304810019
40185.56,0.655689188234657
40185.57,0.676604532622587
40185.58,0.685428383691646
40185.59,0.722169260808248
40185.6,0.689819442276101
40185.61,0.707637017605475
40185.62,0.707673424313544
40185.63,0.703721480117177
40185.64,0.705322160457699
40185.65,0.713730276339761
40185.66,0.731574306701329
40185.67,0.736994137239556
40185.68,0.72765102476555
40185.69,0.727951413793864
40185.7,0.713511702986534
40185.71,0.723293818250765
40185.72,0.716253470158329
40185.73,0.735868523357065
40185.74,0.729499254936693
40185.75,0.718990308542322
40185.76,0.73826748798663
40185.77,0.770095766763044
40185.78,0.75159812054575
40185.79,0.756010360245416
40185.8,0.693080023698267
40185.81,0.700042952192514
40185.82,0.714078064376118
40185.83,0.674895083436177
40185.84,0.695319715856769
40185.85,0.663857810913089
40185.86,0.659191661718368
40185.87,0.659887662059037
40185.88,0.636071795494568
40185.89,0.645727832509204
40185.9,0.661418676992935
40185.91,0.669586473543195
40185.92,0.660899836821513
40185.93,0.671919456691297
40185.94,0.643105136040578
40185.95,0.636506146086878
40185.96,0.624742364264447
40185.97,0.615467249613712
40185.98,0.628870451145509
40185.99,0.63251936149624
40186,0.617878198541463
40186.01,0.642374400042245
40186.02,0.664023757827323
40186.03,0.668067577722484
40186.04,0.652016804746657
40186.05,0.66185121854469
40186.06,0.67715141416103
40186.07,0.682041242305265
40186.08,0.624984416660655
40186.09,0.59750765827437
40186.1,0.605189159783128
40186.11,0.623193866659881
40186.12,0.613335925235917
40186.13,0.603697599825295
40186.14,0.578873404134918
40186.15,0.565517578183519
40186.16,0.533227905655411
40186.17,0.53874810523605
40186.18,0.56161425059748
40186.19,0.552684119731986
40186.2,0.563082688005954
40186.21,0.592342278840329
40186.22,0.60033378735951
40186.23,0.587804356947702
40186.24,0.602643760573827
40186.25,0.594630737354859
40186.26,0.598264213700081
40186.27,0.612871709398046
40186.28,0.606389548387243
40186.29,0.606380076453844
40186.3,0.629829558513853
40186.31,0.630263810069759
40186.32,0.63151259397618
40186.33,0.613796977642823
40186.34,0.595552090199656
40186.35,0.576073991526682
40186.36,0.554049482696305
40186.37,0.558036973260426
40186.38,0.56391376956806
40186.39,0.56153003991001
40186.4,0.565706732958687
40186.41,0.579993405662525
40186.42,0.59075766135553
40186.43,0.571141140951841
40186.44,0.550011164537122
40186.45,0.529817739038318
40186.46,0.538600093223854
40186.47,0.580675855716597
40186.48,0.591821271987623
40186.49,0.596237738059421
40186.5,0.611125194370332
40186.51,0.622005671856345
40186.52,0.636869531403974
40186.53,0.629152894111108
40186.54,0.658674103404432
40186.55,0.676488053915272
40186.56,0.696619677936966
40186.57,0.687161723708463
40186.58,0.724525332375443
40186.59,0.712330902333321
40186.6,0.713108390894775
40186.61,0.726411075776386
40186.62,0.737780349986191
40186.63,0.743613810674672
40186.64,0.721983155102775
40186.65,0.75610780480389
40186.66,0.765555850676337
40186.67,0.779477122666417
40186.68,0.780388359798746
40186.69,0.782382738393966
40186.7,0.794208428044032
40186.71,0.790563542607228
40186.72,0.814805489635589
40186.73,0.801335317515574
40186.74,0.800932438140983
40186.75,0.793255762767005
40186.76,0.832295649940916
40186.77,0.800098392755126
40186.78,0.813535825361667
40186.79,0.796776837255979
40186.8,0.782058968149936
40186.81,0.831831063331022
40186.82,0.839255666521273
40186.83,0.811340722715817
40186.84,0.805241455686535
40186.85,0.828118479635617
40186.86,0.81363229924892
40186.87,0.810428142131151
40186.88,0.840385807199965
40186.89,0.817712477933663
40186.9,0.81296325879043
40186.91,0.787546325343345
40186.92,0.763535709818761
40186.93,0.732943727464886
40186.94,0.733014580341122
40186.95,0.758093784778811
40186.96,0.767463892312242
40186.97,0.754473495387187
40186.98,0.754525795542909
40186.99,0.738274343973408
40187,0.697167683146375
40187.01,0.688850852157621
40187.02,0.679853190830302
40187.03,0.633758773846665
40187.04,0.616948185251996
40187.05,0.629794690451098
40187.06,0.64290780803419
40187.07,0.616941405830337
40187.08,0.625087021136268
40187.09,0.604651034486199
40187.1,0.621119124265412
40187.11,0.596350749466015
40187.12,0.583330670233854
40187.13,0.571620602812582
40187.14,0.553919029151847
40187.15,0.549513676096437
40187.16,0.577070256041574
40187.17,0.572906213203376
40187.18,0.57975209051316
40187.19,0.578746028754061
40187.2,0.586999942811771
40187.21,0.57107121804641
40187.22,0.564108145132264
40187.23,0.562549488496703
40187.24,0.584804878445735
40187.25,0.605086750499659
40187.26,0.590984882615637
40187.27,0.558449861583756
40187.28,0.541827056553612
40187.29,0.552539074085113
40187.3,0.575007039926938
40187.31,0.556502119704407
40187.32,0.578276031852683
40187.33,0.588458684968058
40187.34,0.593904592659218
40187.35,0.579896601657927
40187.36,0.574854404466099
40187.37,0.564264672423211
40187.38,0.578455601255916
40187.39,0.557612025312862
40187.4,0.550581138343583
40187.41,0.57893284144184
40187.42,0.583122264455661
40187.43,0.561776560186193
40187.44,0.582792848981409
40187.45,0.592080470237677
40187.46,0.584974693489299
40187.47,0.581010639068096
40187.48,0.57731266861769
