t, Precipitation (mm/day),t, Wetland inflow (m3/day),t, Wetland inlet stage (m),t, Wetland mid-stage (m),t, Wetland outlet stage (m),t, Wetland outflow (m3/day),t, Wetland Cell 1 Water depth (m),t, Wetland Cell 6 Water depth (m),t, HRT
43833.00000,0,43833.00000,0,43833.00000,0.79931,43833.00000,0.86031,43833.00000,0.91331,43833.00000,0,43833.00000,0.786476,43833.00000,0.860757,43833.00000,0.0232856
43833.04167,0,43833.04167,0,43833.04167,0.798467,43833.04167,0.859467,43833.04167,0.912467,43833.04167,0,43833.04167,0.886856,43833.04167,0.875601,43833.04167,0.0654373
43833.08333,0,43833.08333,0,43833.08333,0.797357,43833.08333,0.858357,43833.08333,0.911357,43833.08333,0,43833.08333,0.818528,43833.08333,0.828089,43833.08333,0.12086
43833.12500,0,43833.12500,0,43833.12500,0.796438,43833.12500,0.857438,43833.12500,0.910438,43833.12500,0,43833.12500,0.821932,43833.12500,0.780568,43833.12500,0.166763
43833.16667,0,43833.16667,0,43833.16667,0.795605,43833.16667,0.856605,43833.16667,0.909605,43833.16667,0,43833.16667,0.806061,43833.16667,0.753966,43833.16667,0.208316
43833.20833,0.025259,43833.20833,0,43833.20833,0.795194,43833.20833,0.856194,43833.20833,0.909194,43833.20833,0,43833.20833,0.846626,43833.20833,0.777382,43833.20833,0.228848
43833.25000,2.4,43833.25000,0,43833.25000,0.794621,43833.25000,0.855621,43833.25000,0.908621,43833.25000,0,43833.25000,0.835157,43833.25000,0.841786,43833.25000,0.25934
43833.29167,9.6,43833.29167,0,43833.29167,0.794053,43833.29167,0.855053,43833.29167,0.908053,43833.29167,0,43833.29167,0.760818,43833.29167,0.957682,43833.29167,0.300785
43833.33333,14.4,43833.33333,0,43833.33333,0.793787,43833.33333,0.854787,43833.33333,0.907787,43833.33333,0,43833.33333,0.756854,43833.33333,0.85677,43833.33333,0.341994
43833.37500,22.8,43833.37500,0,43833.37500,0.793701,43833.37500,0.854701,43833.37500,0.907701,43833.37500,0,43833.37500,0.722598,43833.37500,0.788785,43833.37500,0.383011
43833.41667,32.4,43833.41667,169.076,43833.41667,0.794903,43833.41667,0.85589,43833.41667,0.908885,43833.41667,0,43833.41667,0.819286,43833.41667,0.769785,43833.41667,0.423516
43833.45833,22.8,43833.45833,844.436,43833.45833,0.805981,43833.45833,0.866915,43833.45833,0.919895,43833.45833,0.286787,43833.45833,0.761984,43833.45833,0.862793,43833.45833,0.463876
43833.50000,6,43833.50000,525.361,43833.50000,0.816141,43833.50000,0.877101,43833.50000,0.930088,43833.50000,2.71235,43833.50000,0.765086,43833.50000,0.832369,43833.50000,0.504877
43833.54167,4.8,43833.54167,281.071,43833.54167,0.820488,43833.54167,0.881466,43833.54167,0.934459,43833.54167,5.55557,43833.54167,0.80228,43833.54167,0.796612,43833.54167,0.546294
43833.58333,9.6,43833.58333,366.855,43833.58333,0.825011,43833.58333,0.885984,43833.58333,0.938973,43833.58333,9.42053,43833.58333,0.836789,43833.58333,0.818967,43833.58333,0.587406
43833.62500,9.37872,43833.62500,411.286,43833.62500,0.832744,43833.62500,0.893713,43833.62500,0.946701,43833.62500,18.1245,43833.62500,0.78802,43833.62500,0.844603,43833.62500,0.646398
43833.66667,4.8,43833.66667,339.091,43833.66667,0.835272,43833.66667,0.896246,43833.66667,0.949235,43833.66667,19.915,43833.66667,0.778665,43833.66667,0.886076,43833.66667,0.670124
43833.70833,0.0646154,43833.70833,59.6179,43833.70833,0.83462,43833.70833,0.895614,43833.70833,0.948609,43833.70833,19.4756,43833.70833,0.765897,43833.70833,0.844574,43833.70833,0.815188
43833.75000,0.218462,43833.75000,58.4609,43833.75000,0.834579,43833.75000,0.895574,43833.75000,0.948569,43833.75000,19.294,43833.75000,0.803317,43833.75000,0.952158,43833.75000,0.818392
43833.79167,0.372308,43833.79167,57.3038,43833.79167,0.834539,43833.79167,0.895534,43833.79167,0.948529,43833.79167,18.5089,43833.79167,0.820561,43833.79167,0.950256,43833.79167,0.821596
43833.83333,1.2,43833.83333,57.3589,43833.83333,0.834385,43833.83333,0.895379,43833.83333,0.948375,43833.83333,20.7495,43833.83333,0.788565,43833.83333,1.00909,43833.83333,0.836317
43833.87500,3.6,43833.87500,90.4286,43833.87500,0.834354,43833.87500,0.895346,43833.87500,0.948341,43833.87500,22.2066,43833.87500,0.825374,43833.87500,0.958081,43833.87500,0.877779
43833.91667,7.2,43833.91667,183.441,43833.91667,0.835521,43833.91667,0.896507,43833.91667,0.949499,43833.91667,24.643,43833.91667,0.825855,43833.91667,0.902642,43833.91667,0.919028
43833.95833,6,43833.95833,268.147,43833.95833,0.838489,43833.95833,0.899468,43833.95833,0.952457,43833.95833,31.4296,43833.95833,0.837656,43833.95833,0.815537,43833.95833,0.9601
43834.00000,3.84,43834.00000,211.898,43834.00000,0.840811,43834.00000,0.901794,43834.00000,0.954784,43834.00000,37.7671,43834.00000,0.895025,43834.00000,0.846743,43834.00000,1.00142
43834.00000,2.4,43834.00000,183.452,43834.00000,0.841638,43834.00000,0.902623,43834.00000,0.955614,43834.00000,39.7169,43834.00000,0.895906,43834.00000,0.847479,43834.00000,1.02217
43834.04167,13.2,43834.04167,309.267,43834.04167,0.843509,43834.04167,0.904484,43834.04167,0.957472,43834.04167,40.3316,43834.04167,0.87226,43834.04167,0.832782,43834.04167,1.05332
43834.08333,21.6,43834.08333,778.822,43834.08333,0.852327,43834.08333,0.913269,43834.08333,0.966242,43834.08333,62.5163,43834.08333,0.89267,43834.08333,0.889024,43834.08333,1.09307
43834.12500,10.8,43834.12500,669.988,43834.12500,0.862288,43834.12500,0.923236,43834.12500,0.976208,43834.12500,94.5391,43834.12500,0.924615,43834.12500,0.933587,43834.12500,1.13313
43834.16667,9.6,43834.16667,435.9,43834.16667,0.867066,43834.16667,0.92803,43834.16667,0.981004,43834.16667,106.97,43834.16667,0.970311,43834.16667,0.979651,43834.16667,1.17405
43834.20833,14.4,43834.20833,598.441,43834.20833,0.873038,43834.20833,0.93399,43834.20833,0.986957,43834.20833,142.948,43834.20833,1.00022,43834.20833,0.953125,43834.20833,1.21438
43834.25000,12.0373,43834.25000,555.079,43834.25000,0.880099,43834.25000,0.941052,43834.25000,0.994015,43834.25000,183.451,43834.25000,0.98254,43834.25000,1.02765,43834.25000,1.2674
43834.29167,15.6,43834.29167,617.185,43834.29167,0.883861,43834.29167,0.944809,43834.29167,0.997768,43834.29167,191.688,43834.29167,0.979872,43834.29167,1.05745,43834.29167,1.2952
43834.33333,18,43834.33333,762.923,43834.33333,0.890886,43834.33333,0.951823,43834.33333,1.00477,43834.33333,238.018,43834.33333,0.999283,43834.33333,1.04568,43834.33333,1.33485
43834.37500,18,43834.37500,785.863,43834.37500,0.897854,43834.37500,0.958788,43834.37500,1.01173,43834.37500,304.031,43834.37500,0.933394,43834.37500,1.05179,43834.37500,1.37407
43834.41667,14.4,43834.41667,737.938,43834.41667,0.904141,43834.41667,0.965076,43834.41667,1.01801,43834.41667,382.141,43834.41667,0.940241,43834.41667,1.01943,43834.41667,1.41325
43834.45833,6,43834.45833,464.469,43834.45833,0.906615,43834.45833,0.967567,43834.45833,1.02051,43834.45833,409.6,43834.45833,1.00222,43834.45833,1.06822,43834.45833,1.45304
43834.50000,1.2,43834.50000,230.187,43834.50000,0.905124,43834.50000,0.96609,43834.50000,1.01904,43834.50000,438.105,43834.50000,1.05289,43834.50000,1.01377,43834.50000,1.49343
43834.54167,2.4,43834.54167,141.253,43834.54167,0.901784,43834.54167,0.962758,43834.54167,1.01571,43834.54167,407.653,43834.54167,1.01986,43834.54167,0.95489,43834.54167,1.53386
43834.58333,2.4,43834.58333,143.815,43834.58333,0.898744,43834.58333,0.959719,43834.58333,1.01268,43834.58333,403.124,43834.58333,1.04151,43834.58333,0.942265,43834.58333,1.57393
43834.62500,0.112372,43834.62500,35.0121,43834.62500,0.88514,43834.62500,0.946126,43834.62500,0.999097,43834.62500,235.252,43834.62500,1.01131,43834.62500,0.889271,43834.62500,1.73211
43834.66667,0.0751628,43834.66667,30.4183,43834.66667,0.883513,43834.66667,0.944501,43834.66667,0.997473,43834.66667,204.128,43834.66667,0.955721,43834.66667,0.891726,43834.66667,1.75175
43834.70833,0.0379535,43834.70833,25.8245,43834.70833,0.881887,43834.70833,0.942875,43834.70833,0.995849,43834.70833,185.59,43834.70833,0.924957,43834.70833,0.874833,43834.70833,1.77139
43834.75000,0.000744187,43834.75000,21.2307,43834.75000,0.880261,43834.75000,0.94125,43834.75000,0.994224,43834.75000,183.397,43834.75000,0.926027,43834.75000,0.860435,43834.75000,1.79103
43834.79167,0.28,43834.79167,21.498,43834.79167,0.879781,43834.79167,0.94077,43834.79167,0.993745,43834.79167,192.803,43834.79167,0.965067,43834.79167,0.898677,43834.79167,1.7971
43834.83333,1.2,43834.83333,25.9773,43834.83333,0.878555,43834.83333,0.939544,43834.83333,0.99252,43834.83333,191.371,43834.83333,0.891705,43834.83333,0.893968,43834.83333,1.81329
43834.87500,9.6,43834.87500,138.064,43834.87500,0.876521,43834.87500,0.937503,43834.87500,0.990478,43834.87500,176.373,43834.87500,0.947484,43834.87500,0.938755,43834.87500,1.85317
43834.91667,30,43834.91667,775.983,43834.91667,0.880894,43834.91667,0.941832,43834.91667,0.994791,43834.91667,206.056,43834.91667,0.928968,43834.91667,0.974268,43834.91667,1.89031
43834.95833,37.2,43834.95833,1529.04,43834.95833,0.897415,43834.95833,0.9583,43834.95833,1.01123,43834.95833,309.855,43834.95833,0.934748,43834.95833,1.01695,43834.95833,1.92305
43835.00000,33.6,43835.00000,1513,43835.00000,0.914005,43835.00000,0.974887,43835.00000,1.0278,43835.00000,496.149,43835.00000,0.990773,43835.00000,1.00528,43835.00000,1.95478
43835.00000,31.2,43835.00000,1556.07,43835.00000,0.921877,43835.00000,0.982754,43835.00000,1.03566,43835.00000,586.183,43835.00000,0.999306,43835.00000,1.01297,43835.00000,1.97053
43835.04167,24,43835.04167,1279.4,43835.04167,0.930618,43835.04167,0.99151,43835.04167,1.04441,43835.04167,657.27,43835.04167,0.971895,43835.04167,1.00156,43835.04167,1.99374
43835.08333,10.8,43835.08333,762.663,43835.08333,0.934597,43835.08333,0.995518,43835.08333,1.04842,43835.08333,683.356,43835.08333,0.940472,43835.08333,1.06042,43835.08333,2.02357
43835.12500,3.6,43835.12500,377.464,43835.12500,0.931963,43835.12500,0.992909,43835.12500,1.04582,43835.12500,650.222,43835.12500,0.997284,43835.12500,0.959099,43835.12500,2.05432
43835.16667,2.4,43835.16667,217.853,43835.16667,0.926736,43835.16667,0.987694,43835.16667,1.04062,43835.16667,585.628,43835.16667,0.957493,43835.16667,0.947254,43835.16667,2.08573
43835.20833,2.4,43835.20833,158.242,43835.20833,0.921097,43835.20833,0.982062,43835.20833,1.03499,43835.20833,526.753,43835.20833,0.903435,43835.20833,0.92538,43835.20833,2.11764
43835.25000,1.2,43835.25000,118.062,43835.25000,0.915637,43835.25000,0.976607,43835.25000,1.02955,43835.25000,453.792,43835.25000,0.878766,43835.25000,0.920292,43835.25000,2.15012
43835.29167,0.0376,43835.29167,34.9672,43835.29167,0.899621,43835.29167,0.960602,43835.29167,1.01356,43835.29167,307.293,43835.29167,0.859283,43835.29167,1.00327,43835.29167,2.26403
43835.33333,0.0176,43835.33333,25.4819,43835.33333,0.894295,43835.33333,0.955279,43835.33333,1.00824,43835.33333,250.737,43835.33333,0.974621,43835.33333,1.04235,43835.33333,2.31129
43835.37500,0,43835.37500,16.7819,43835.37500,0.889121,43835.37500,0.950107,43835.37500,1.00308,43835.37500,224.25,43835.37500,0.924551,43835.37500,1.09667,43835.37500,2.35877
43835.41667,0,43835.41667,13.8408,43835.41667,0.885055,43835.41667,0.946043,43835.41667,0.999014,43835.41667,201.705,43835.41667,0.950864,43835.41667,1.00205,43835.41667,2.4078
43835.45833,0,43835.45833,10.8998,43835.45833,0.880989,43835.45833,0.941978,43835.45833,0.994952,43835.45833,190.009,43835.45833,0.928505,43835.45833,0.934892,43835.45833,2.45683
43835.50000,0,43835.50000,7.9587,43835.50000,0.876923,43835.50000,0.937913,43835.50000,0.990891,43835.50000,167.881,43835.50000,0.891557,43835.50000,0.944372,43835.50000,2.50586
43835.54167,0,43835.54167,6.81664,43835.54167,0.873498,43835.54167,0.934489,43835.54167,0.987469,43835.54167,136.853,43835.54167,0.870636,43835.54167,0.954978,43835.54167,2.55661
43835.58333,0,43835.58333,5.83103,43835.58333,0.870128,43835.58333,0.931121,43835.58333,0.984102,43835.58333,139.185,43835.58333,0.797281,43835.58333,0.955813,43835.58333,2.60751
43835.62500,0,43835.62500,4.84541,43835.62500,0.866759,43835.62500,0.927752,43835.62500,0.980736,43835.62500,120.756,43835.62500,0.803162,43835.62500,0.931579,43835.62500,2.65841
43835.66667,0,43835.66667,3.8598,43835.66667,0.863389,43835.66667,0.924383,43835.66667,0.977369,43835.66667,98.573,43835.66667,0.746495,43835.66667,0.917422,43835.66667,2.70931
43835.70833,0,43835.70833,3.4466,43835.70833,0.861912,43835.70833,0.922907,43835.70833,0.975893,43835.70833,96.0714,43835.70833,0.704212,43835.70833,0.929297,43835.70833,2.73269
43835.75000,0,43835.75000,3.33714,43835.75000,0.861439,43835.75000,0.922434,43835.75000,0.975421,43835.75000,95.3674,43835.75000,0.705438,43835.75000,0.892909,43835.75000,2.74147
43835.79167,0,43835.79167,3.22767,43835.79167,0.860966,43835.79167,0.921961,43835.79167,0.974948,43835.79167,88.9516,43835.79167,0.70596,43835.79167,0.785037,43835.79167,2.75025
43835.83333,0,43835.83333,3.11821,43835.83333,0.860493,43835.83333,0.921488,43835.83333,0.974475,43835.83333,84.8581,43835.83333,0.729618,43835.83333,0.824014,43835.83333,2.75903
43835.87500,0,43835.87500,3.00875,43835.87500,0.86002,43835.87500,0.921015,43835.87500,0.974003,43835.87500,85.6101,43835.87500,0.71123,43835.87500,0.893994,43835.87500,2.76781
43835.91667,0,43835.91667,2.89999,43835.91667,0.85955,43835.91667,0.920545,43835.91667,0.973533,43835.91667,75.9251,43835.91667,0.712196,43835.91667,0.930656,43835.91667,2.77655
43835.95833,0,43835.95833,2.81264,43835.95833,0.859157,43835.95833,0.920152,43835.95833,0.97314,43835.95833,80.3777,43835.95833,0.799425,43835.95833,0.947749,43835.95833,2.78412
43836.00000,0,43836.00000,2.50121,43836.00000,0.857647,43836.00000,0.918642,43836.00000,0.971631,43836.00000,79.5709,43836.00000,0.803726,43836.00000,0.981995,43836.00000,2.81405
43836.00000,0,43836.00000,2.29394,43836.00000,0.856527,43836.00000,0.917523,43836.00000,0.970512,43836.00000,75.7638,43836.00000,0.802677,43836.00000,0.980864,43836.00000,2.83704
43836.04167,0,43836.04167,1.99275,43836.04167,0.854652,43836.04167,0.915648,43836.04167,0.968638,43836.04167,67.4087,43836.04167,0.743887,43836.04167,0.958464,43836.04167,2.87731
43836.08333,0,43836.08333,1.68227,43836.08333,0.852328,43836.08333,0.913324,43836.08333,0.966315,43836.08333,67.0943,43836.08333,0.725871,43836.08333,0.919194,43836.08333,2.93047
43836.12500,0,43836.12500,1.47226,43836.12500,0.850493,43836.12500,0.91149,43836.12500,0.964482,43836.12500,62.2247,43836.12500,0.785814,43836.12500,0.938864,43836.12500,2.97465
43836.16667,0,43836.16667,1.31239,43836.16667,0.848899,43836.16667,0.909896,43836.16667,0.962888,43836.16667,62.845,43836.16667,0.80638,43836.16667,0.919459,43836.16667,3.01477
43836.20833,0,43836.20833,1.17551,43836.20833,0.847362,43836.20833,0.908359,43836.20833,0.961352,43836.20833,58.2998,43836.20833,0.828486,43836.20833,0.940654,43836.20833,3.05499
43836.25000,0,43836.25000,1.05757,43836.25000,0.845877,43836.25000,0.906874,43836.25000,0.959868,43836.25000,51.2414,43836.25000,0.839763,43836.25000,1.00483,43836.25000,3.0953
43836.29167,0,43836.29167,0.955356,43836.29167,0.844442,43836.29167,0.905439,43836.29167,0.958433,43836.29167,44.1443,43836.29167,0.769293,43836.29167,0.961482,43836.29167,3.1357
43836.33333,0,43836.33333,0.866303,43836.33333,0.843052,43836.33333,0.904049,43836.33333,0.957044,43836.33333,40.3028,43836.33333,0.766473,43836.33333,0.997966,43836.33333,3.17619
43836.37500,0,43836.37500,0.788315,43836.37500,0.841703,43836.37500,0.902701,43836.37500,0.955696,43836.37500,38.975,43836.37500,0.727206,43836.37500,0.96649,43836.37500,3.21675
43836.41667,0,43836.41667,0.719703,43836.41667,0.840394,43836.41667,0.901392,43836.41667,0.954387,43836.41667,34.8644,43836.41667,0.815069,43836.41667,0.884259,43836.41667,3.25739
43836.45833,0,43836.45833,0.659082,43836.45833,0.839121,43836.45833,0.900119,43836.45833,0.953115,43836.45833,31.9841,43836.45833,0.77792,43836.45833,0.816836,43836.45833,3.29809
43836.50000,0,43836.50000,0.605303,43836.50000,0.83788,43836.50000,0.898878,43836.50000,0.951874,43836.50000,28.9881,43836.50000,0.813346,43836.50000,0.886633,43836.50000,3.33886
43836.54167,0,43836.54167,0.557412,43836.54167,0.836641,43836.54167,0.89764,43836.54167,0.950636,43836.54167,27.4895,43836.54167,0.766139,43836.54167,0.835638,43836.54167,3.37968
43836.58333,0,43836.58333,0.514611,43836.58333,0.835342,43836.58333,0.896341,43836.58333,0.949337,43836.58333,26.7439,43836.58333,0.751496,43836.58333,0.897304,43836.58333,3.42055
43836.62500,0,43836.62500,0.476231,43836.62500,0.833933,43836.62500,0.894932,43836.62500,0.947929,43836.62500,23.1489,43836.62500,0.87975,43836.62500,0.877234,43836.62500,3.46148
43836.66667,0,43836.66667,0.441705,43836.66667,0.832414,43836.66667,0.893413,43836.66667,0.94641,43836.66667,20.3912,43836.66667,0.869996,43836.66667,0.92739,43836.66667,3.50245
43836.70833,0,43836.70833,0.410552,43836.70833,0.830852,43836.70833,0.891851,43836.70833,0.944849,43836.70833,18.6602,43836.70833,0.859076,43836.70833,0.921909,43836.70833,3.54347
43836.75000,0,43836.75000,0.382365,43836.75000,0.829311,43836.75000,0.89031,43836.75000,0.943308,43836.75000,16.7005,43836.75000,0.869416,43836.75000,0.908912,43836.75000,3.58455
43836.79167,0,43836.79167,0.356791,43836.79167,0.827793,43836.79167,0.888792,43836.79167,0.94179,43836.79167,14.6601,43836.79167,0.920155,43836.79167,0.884351,43836.79167,3.62568
43836.83333,0,43836.83333,0.333529,43836.83333,0.826357,43836.83333,0.887356,43836.83333,0.940354,43836.83333,12.0144,43836.83333,0.836059,43836.83333,0.973099,43836.83333,3.66686
43836.87500,0,43836.87500,0.312319,43836.87500,0.825102,43836.87500,0.886101,43836.87500,0.9391,43836.87500,10.9183,43836.87500,0.845786,43836.87500,1.06896,43836.87500,3.70809
43836.91667,0,43836.91667,0.294981,43836.91667,0.824148,43836.91667,0.885148,43836.91667,0.938146,43836.91667,9.40596,43836.91667,0.825219,43836.91667,1.1447,43836.91667,3.74453
43836.95833,0,43836.95833,0.284688,43836.95833,0.823608,43836.95833,0.884607,43836.95833,0.937606,43836.95833,8.47288,43836.95833,0.82968,43836.95833,1.17576,43836.95833,3.76731
43837.00000,0,43837.00000,0.270669,43837.00000,0.822853,43837.00000,0.883852,43837.00000,0.936851,43837.00000,8.34747,43837.00000,0.790799,43837.00000,1.09609,43837.00000,3.80021
43837.00000,0,43837.00000,0.260856,43837.00000,0.822307,43837.00000,0.883307,43837.00000,0.936306,43837.00000,7.85836,43837.00000,0.790275,43837.00000,1.09546,43837.00000,3.82422
43837.04167,0,43837.04167,0.245339,43837.04167,0.821365,43837.04167,0.882364,43837.04167,0.935363,43837.04167,6.44018,43837.04167,0.830403,43837.04167,1.13492,43837.04167,3.86619
43837.08333,0,43837.08333,0.227055,43837.08333,0.820144,43837.08333,0.881144,43837.08333,0.934143,43837.08333,5.95272,43837.08333,0.836782,43837.08333,1.14001,43837.08333,3.9214
43837.12500,0,43837.12500,0.213275,43837.12500,0.819146,43837.12500,0.880146,43837.12500,0.933145,43837.12500,5.2778,43837.12500,0.799907,43837.12500,1.02514,43837.12500,3.96714
43837.16667,0,43837.16667,0.201794,43837.16667,0.818251,43837.16667,0.879251,43837.16667,0.93225,43837.16667,4.28561,43837.16667,0.799814,43837.16667,1.07505,43837.16667,4.00858
43837.20833,0,43837.20833,0.191153,43837.20833,0.817365,43837.20833,0.878364,43837.20833,0.931364,43837.20833,3.72624,43837.20833,0.783952,43837.20833,1.13045,43837.20833,4.05002
43837.25000,0,43837.25000,0.181277,43837.25000,0.816485,43837.25000,0.877485,43837.25000,0.930484,43837.25000,3.45679,43837.25000,0.781956,43837.25000,1.01057,43837.25000,4.09148
43837.29167,0,43837.29167,0.172095,43837.29167,0.815612,43837.29167,0.876612,43837.29167,0.929611,43837.29167,3.01462,43837.29167,0.801302,43837.29167,1.11446,43837.29167,4.13295
43837.33333,0,43837.33333,0.163547,43837.33333,0.814745,43837.33333,0.875745,43837.33333,0.928745,43837.33333,2.57126,43837.33333,0.855463,43837.33333,1.10367,43837.33333,4.17443
43837.37500,0,43837.37500,0.155579,43837.37500,0.813884,43837.37500,0.874884,43837.37500,0.927883,43837.37500,2.08886,43837.37500,0.90826,43837.37500,1.03863,43837.37500,4.21593
43837.41667,0,43837.41667,0.148139,43837.41667,0.813027,43837.41667,0.874027,43837.41667,0.927027,43837.41667,1.74652,43837.41667,0.930642,43837.41667,0.973535,43837.41667,4.25743
43837.45833,0,43837.45833,0.141186,43837.45833,0.812175,43837.45833,0.873175,43837.45833,0.926175,43837.45833,1.48778,43837.45833,0.952018,43837.45833,0.992531,43837.45833,4.29894
43837.50000,0,43837.50000,0.134678,43837.50000,0.811324,43837.50000,0.872324,43837.50000,0.925323,43837.50000,1.2985,43837.50000,0.963454,43837.50000,1.16631,43837.50000,4.34046
43837.54167,0,43837.54167,0.12858,43837.54167,0.810428,43837.54167,0.871427,43837.54167,0.924427,43837.54167,1.11296,43837.54167,0.979967,43837.54167,1.11657,43837.54167,4.38198
43837.58333,0,43837.58333,0.122859,43837.58333,0.809402,43837.58333,0.870402,43837.58333,0.923402,43837.58333,0.835747,43837.58333,0.941868,43837.58333,1.06816,43837.58333,4.4235
43837.62500,0,43837.62500,0.117486,43837.62500,0.808226,43837.62500,0.869226,43837.62500,0.922226,43837.62500,0.613042,43837.62500,0.921301,43837.62500,0.9417,43837.62500,4.46501
43837.66667,0,43837.66667,0.112435,43837.66667,0.807023,43837.66667,0.868023,43837.66667,0.921023,43837.66667,0.383919,43837.66667,0.897688,43837.66667,1.08305,43837.66667,4.50652
43837.70833,0.115314,43837.70833,0.198735,43837.70833,0.806342,43837.70833,0.867342,43837.70833,0.920342,43837.70833,0.275773,43837.70833,0.943866,43837.70833,1.07793,43837.70833,4.53136
43837.75000,3.6,43837.75000,14.6221,43837.75000,0.805856,43837.75000,0.866855,43837.75000,0.919855,43837.75000,0.211603,43837.75000,0.979357,43837.75000,1.09578,43837.75000,4.55704
43837.79167,15.6,43837.79167,262.442,43837.79167,0.807429,43837.79167,0.868409,43837.79167,0.921402,43837.79167,0.392863,43837.79167,1.08345,43837.79167,1.16575,43837.79167,4.59445
43837.83333,42,43837.83333,1220.88,43837.83333,0.819924,43837.83333,0.880832,43837.83333,0.933802,43837.83333,5.35082,43837.83333,1.03748,43837.83333,1.08406,43837.83333,4.6232
43837.87500,57.6,43837.87500,2351.61,43837.87500,0.85189,43837.87500,0.912719,43837.87500,0.965657,43837.87500,56.6539,43837.87500,0.97753,43837.87500,1.05993,43837.87500,4.639
43837.91667,48,43837.91667,2271.06,43837.91667,0.885805,43837.91667,0.946642,43837.91667,0.999564,43837.91667,186.151,43837.91667,0.972227,43837.91667,1.18194,43837.91667,4.64918
43837.95833,34.8,43837.95833,1763.02,43837.95833,0.909838,43837.95833,0.970705,43837.95833,1.02362,43837.95833,377.312,43837.95833,1.00044,43837.95833,1.14118,43837.95833,4.6541
43838.00000,31.2,43838.00000,1470.65,43838.00000,0.92498,43838.00000,0.985862,43838.00000,1.03876,43838.00000,536.198,43838.00000,1.01966,43838.00000,1.20619,43838.00000,4.65375
43838.00000,4.8,43838.00000,841.982,43838.00000,0.929655,43838.00000,0.990574,43838.00000,1.04348,43838.00000,588.26,43838.00000,1.02482,43838.00000,1.21167,43838.00000,4.6551
43838.04167,2.4,43838.04167,426.134,43838.04167,0.928552,43838.04167,0.989497,43838.04167,1.04241,43838.04167,544.638,43838.04167,1.01295,43838.04167,1.24488,43838.04167,4.66039
43838.08333,0.0131523,43838.08333,99.4073,43838.08333,0.915054,43838.08333,0.976025,43838.08333,1.02897,43838.08333,428.327,43838.08333,0.988232,43838.08333,1.20422,43838.08333,4.69767
43838.12500,0.00425342,43838.12500,71.9127,43838.12500,0.910948,43838.12500,0.971923,43838.12500,1.02487,43838.12500,420.029,43838.12500,0.952331,43838.12500,1.2129,43838.12500,4.71195
43838.16667,0,43838.16667,48.1894,43838.16667,0.905605,43838.16667,0.966584,43838.16667,1.01954,43838.16667,420.135,43838.16667,0.965937,43838.16667,1.15546,43838.16667,4.73458
43838.20833,0,43838.20833,30.0522,43838.20833,0.899314,43838.20833,0.960296,43838.20833,1.01325,43838.20833,344.255,43838.20833,0.984652,43838.20833,1.20773,43838.20833,4.76559
43838.25000,0,43838.25000,21.7154,43838.25000,0.893867,43838.25000,0.954851,43838.25000,1.00782,43838.25000,278.858,43838.25000,0.924559,43838.25000,1.1854,43838.25000,4.80011
43838.29167,0,43838.29167,15.2961,43838.29167,0.88882,43838.29167,0.949806,43838.29167,1.00277,43838.29167,242.042,43838.29167,0.953591,43838.29167,1.16344,43838.29167,4.83636
43838.33333,0,43838.33333,11.9767,43838.33333,0.88443,43838.33333,0.945418,43838.33333,0.99839,43838.33333,189.989,43838.33333,0.883893,43838.33333,1.11271,43838.33333,4.87544
43838.37500,0,43838.37500,8.76304,43838.37500,0.880115,43838.37500,0.941105,43838.37500,0.99408,43838.37500,170.711,43838.37500,0.915574,43838.37500,0.99827,43838.37500,4.91428
43838.41667,0,43838.41667,7.44252,43838.41667,0.877144,43838.41667,0.938135,43838.41667,0.991112,43838.41667,154.736,43838.41667,0.890507,43838.41667,1.09323,43838.41667,4.94882
43838.45833,0,43838.45833,6.27442,43838.45833,0.874281,43838.45833,0.935272,43838.45833,0.988251,43838.45833,140.985,43838.45833,0.877695,43838.45833,1.01575,43838.45833,4.98301
43838.50000,0,43838.50000,5.10632,43838.50000,0.871418,43838.50000,0.93241,43838.50000,0.985391,43838.50000,124.896,43838.50000,0.744203,43838.50000,0.979326,43838.50000,5.0172
43838.54167,0.0661945,43838.54167,4.98591,43838.54167,0.870622,43838.54167,0.931614,43838.54167,0.984596,43838.54167,116.849,43838.54167,0.721153,43838.54167,0.977878,43838.54167,5.02646
43838.58333,0.150853,43838.58333,5.15773,43838.58333,0.870403,43838.58333,0.931395,43838.58333,0.984377,43838.58333,124.569,43838.58333,0.784651,43838.58333,0.948318,43838.58333,5.02877
43838.62500,0.235512,43838.62500,5.32955,43838.62500,0.870184,43838.62500,0.931176,43838.62500,0.984158,43838.62500,127.161,43838.62500,0.845105,43838.62500,1.01224,43838.62500,5.03108
43838.66667,1.2,43838.66667,9.91984,43838.66667,0.868905,43838.66667,0.929897,43838.66667,0.98288,43838.66667,130.141,43838.66667,0.777452,43838.66667,0.912497,43838.66667,5.04501
43838.70833,1.2,43838.70833,28.4942,43838.70833,0.866196,43838.70833,0.927188,43838.70833,0.980171,43838.70833,106.689,43838.70833,0.81484,43838.70833,0.989433,43838.70833,5.07792
43838.75000,1.2,43838.75000,29.2142,43838.75000,0.863583,43838.75000,0.924575,43838.75000,0.97756,43838.75000,102.717,43838.75000,0.838609,43838.75000,0.930237,43838.75000,5.11224
