t,Obs_Pond water depth (m)_expression_noisy
40180.78,1.29073716542694E-06
40180.79,1.26433103545881E-06
40180.8,1.18093298322237E-06
40180.81,1.15499743755018E-06
40180.82,1.17749695300075E-06
40180.83,1.1904564123846E-06
40180.84,1.18397103210749E-06
40180.85,1.17006320405337E-06
40180.86,1.22024282679629E-06
40180.87,1.22532102533112E-06
40180.88,1.25169092970063E-06
40180.89,1.2593715569618E-06
40180.9,1.22985003080357E-06
40180.91,1.27851235743368E-06
40180.92,1.22807402208422E-06
40180.93,1.1827959583708E-06
40180.94,1.1653139681998E-06
40180.95,1.13914477491531E-06
40180.96,1.11978790077151E-06
40180.97,1.10011222018878E-06
40180.98,1.13008796284581E-06
40180.99,1.12996934748523E-06
40181,1.13911659318428E-06
40181.01,1.08776747129375E-06
40181.02,1.06213664930348E-06
40181.03,1.09514932232766E-06
40181.04,1.05843487572172E-06
40181.05,1.09419067695969E-06
40181.06,1.0624635397741E-06
40181.07,1.07156724261832E-06
40181.08,1.04651850409553E-06
40181.09,1.05293146032859E-06
40181.1,1.02734562223701E-06
40181.11,1.02130681951111E-06
40181.12,1.07126198729502E-06
40181.13,1.05955291926622E-06
40181.14,1.12085981132206E-06
40181.15,1.10390202606589E-06
40181.16,1.0665337026208E-06
40181.17,1.06855477598684E-06
40181.18,1.05616566695102E-06
40181.19,1.10896388139329E-06
40181.2,1.13361382126778E-06
40181.21,1.16806342905112E-06
40181.22,1.18389605506543E-06
40181.23,1.2619865702177E-06
40181.24,1.28082912912706E-06
40181.25,1.2896822213723E-06
40181.26,1.25009929706414E-06
40181.27,1.21045524145484E-06
40181.28,1.20960618816908E-06
40181.29,1.23629239650635E-06
40181.3,1.26659026677775E-06
40181.31,1.2243179503362E-06
40181.32,1.23444259612035E-06
40181.33,1.23256534434048E-06
40181.34,1.18666916496491E-06
40181.35,1.19695450678818E-06
40181.36,1.11722372965934E-06
40181.37,1.1216653165028E-06
40181.38,1.19696384069182E-06
40181.39,1.15643831642268E-06
40181.4,1.15140779495833E-06
40181.41,1.08727805869707E-06
40181.42,1.06199446982332E-06
40181.43,1.08261427224555E-06
40181.44,1.04908178941577E-06
40181.45,1.04662890320306E-06
40181.46,1.03494788398784E-06
40181.47,1.02312863990371E-06
40181.48,1.02792501584039E-06
40181.49,1.04092931187913E-06
40181.5,1.075512635805E-06
40181.51,1.09759913890224E-06
40181.52,1.07686903400873E-06
40181.53,1.11698067530908E-06
40181.54,1.15153633779641E-06
40181.55,1.09688695203577E-06
40181.56,1.11335510762936E-06
40181.57,1.13436951045386E-06
40181.58,1.15939500499438E-06
40181.59,1.17021362692676E-06
40181.6,1.12177710549072E-06
40181.61,1.10825953745455E-06
40181.62,1.04196184189538E-06
40181.63,1.03541982825655E-06
40181.64,1.0934477910113E-06
40181.65,1.10993425087572E-06
40181.66,1.13079360006311E-06
40181.67,1.10885511038572E-06
40181.68,1.07306803225731E-06
40181.69,1.03814282989017E-06
40181.7,1.0395484553007E-06
40181.71,1.01442488393642E-06
40181.72,9.95359478348045E-07
40181.73,1.02683442222738E-06
40181.74,9.79321947499813E-07
40181.75,9.44223555009721E-07
40181.76,9.32171538517668E-07
40181.77,9.31226645789997E-07
40181.78,9.29505172127096E-07
40181.79,8.9577017044215E-07
40181.8,9.03451540471101E-07
40181.81,9.02712060328749E-07
40181.82,9.14133546560247E-07
40181.83,8.89047526009642E-07
40181.84,8.98007117837949E-07
40181.85,9.06045951495609E-07
40181.86,8.9172868372302E-07
40181.87,8.88972960377286E-07
40181.88,8.78054768320632E-07
40181.89,9.14893687543492E-07
40181.9,8.40614581040304E-07
40181.91,8.11662715215933E-07
40181.92,7.79146811357505E-07
40181.93,7.77184842356317E-07
40181.94,7.68832870367427E-07
40181.95,7.66510466442544E-07
40181.96,7.88576007940984E-07
40181.97,7.59180612566081E-07
40181.98,7.48074420264608E-07
40181.99,7.50360273095615E-07
40182,7.3236720299525E-07
40182.01,7.47325841982379E-07
40182.02,7.61100826454879E-07
40182.03,7.5250736915585E-07
40182.04,7.22730116536773E-07
40182.05,7.63344431486939E-07
40182.06,7.79677986849128E-07
40182.07,7.94613615325901E-07
40182.08,8.01342224782098E-07
40182.09,8.06036823453643E-07
40182.1,8.29594937957364E-07
40182.11,8.33043152794768E-07
40182.12,8.22177785349177E-07
40182.13,8.42570450184977E-07
40182.14,8.47190241940077E-07
40182.15,8.32182080157062E-07
40182.16,8.14941064937865E-07
40182.17,8.45893339711196E-07
40182.18,8.63795397870307E-07
40182.19,9.14779668961776E-07
40182.2,9.01759880047785E-07
40182.21,8.84045898168793E-07
40182.22,8.9534460969089E-07
40182.23,9.31090058723707E-07
40182.24,9.45956125657385E-07
40182.25,9.56061567057437E-07
40182.26,1.00554578014667E-06
40182.27,9.81203357837977E-07
40182.28,9.4500228878276E-07
40182.29,9.2423576995077E-07
40182.3,9.15456784002849E-07
40182.31,9.2457500924731E-07
40182.32,9.50304840281245E-07
40182.33,9.591128446592E-07
40182.34,9.98053669095636E-07
40182.35,9.71462722783827E-07
40182.36,1.02104456775731E-06
40182.37,9.93266942980045E-07
40182.38,1.02189886244961E-06
40182.39,9.90488794796882E-07
40182.4,9.95921032142815E-07
40182.41,9.93054142749299E-07
40182.42,1.00314874738618E-06
40182.43,1.01947481389794E-06
40182.44,1.00802739473984E-06
40182.45,1.00114693175543E-06
40182.46,1.00299696297115E-06
40182.47,9.6261064924195E-07
40182.48,9.40124901664021E-07
40182.49,8.9648453326863E-07
40182.5,8.96000851408181E-07
40182.51,9.52258349701699E-07
40182.52,9.68960630903083E-07
40182.53,9.42297940419456E-07
40182.54,9.21338955982067E-07
40182.55,9.4467573925991E-07
40182.56,9.29458865050577E-07
40182.57,8.86689930103747E-07
40182.58,8.61327177819521E-07
40182.59,8.37021497107969E-07
40182.6,8.15018049234735E-07
40182.61,8.32663667259988E-07
40182.62,8.35792083266792E-07
40182.63,8.03275031468377E-07
40182.64,7.93798932583489E-07
40182.65,7.71846128900941E-07
40182.66,7.49830768991548E-07
40182.67,7.23228151301345E-07
40182.68,7.64477587186377E-07
40182.69,7.61637093485538E-07
40182.7,7.7770246157792E-07
40182.71,7.99878677099698E-07
40182.72,7.93681506439305E-07
40182.73,8.08069116785625E-07
40182.74,8.22226736108935E-07
40182.75,8.28679738209193E-07
40182.76,8.81215312017202E-07
40182.77,8.87180129538842E-07
40182.78,8.80308461774517E-07
40182.79,8.9516423086703E-07
40182.8,9.38629067728555E-07
40182.81,9.61213201183407E-07
40182.82,9.44032506874507E-07
40182.83,9.18033110248907E-07
40182.84,8.9190135888601E-07
40182.85,8.73945541353369E-07
40182.86,8.82272378471075E-07
40182.87,9.0171899792556E-07
40182.88,8.44550512707096E-07
40182.89,8.4408067626883E-07
40182.9,8.18557648718952E-07
40182.91,8.35115633336182E-07
40182.92,8.56782310288599E-07
40182.93,8.37822211028655E-07
40182.94,8.27488931558667E-07
40182.95,8.06340632090905E-07
40182.96,8.1632741009274E-07
40182.97,7.81416655493113E-07
40182.98,7.5937790299288E-07
40182.99,7.47840680172848E-07
40183,7.76988696348029E-07
40183.01,8.32738724602541E-07
40183.02,8.3312755205286E-07
40183.03,8.05035161903239E-07
40183.04,8.07615969717809E-07
40183.05,7.8915343645368E-07
40183.06,8.00742098880489E-07
40183.07,7.77332106765245E-07
40183.08,7.71198525085035E-07
40183.09,7.72892558237703E-07
40183.1,7.86040929301979E-07
40183.11,7.85733392032016E-07
40183.12,8.15221231424239E-07
40183.13,8.18238480969282E-07
40183.14,7.7814796224997E-07
40183.15,7.99925445356019E-07
40183.16,7.9416906867135E-07
40183.17,7.80403168058314E-07
40183.18,8.15122960990891E-07
40183.19,7.92947690940793E-07
40183.2,7.95344057016734E-07
40183.21,7.80427614482018E-07
40183.22,8.11490740085999E-07
40183.23,8.03303129897176E-07
40183.24,8.08814680989731E-07
40183.25,7.78174465429164E-07
40183.26,8.10932751119037E-07
40183.27,7.87069687129102E-07
40183.28,8.07927282746824E-07
40183.29,8.33105338081069E-07
40183.3,8.60730406955907E-07
40183.31,9.02528607774079E-07
40183.32,8.69521996927761E-07
40183.33,8.76294220210047E-07
40183.34,8.7636381270847E-07
40183.35,8.83260305359315E-07
40183.36,9.06788135961932E-07
40183.37,9.04779102798209E-07
40183.38,8.79911668442331E-07
40183.39,8.7388089626327E-07
40183.4,9.08376852676228E-07
40183.41,8.74306681489118E-07
40183.42,8.72661396224684E-07
40183.43,8.45783106805749E-07
40183.44,8.69662143184609E-07
40183.45,8.27449290225827E-07
40183.46,8.17897655917766E-07
40183.47,8.13718820001693E-07
40183.48,8.15184679436769E-07
40183.49,8.68984457347481E-07
40183.5,9.03549764688281E-07
40183.51,8.73127561491046E-07
40183.52,9.22933100845318E-07
40183.53,8.87019421884258E-07
40183.54,8.3788012897354E-07
40183.55,8.01428000738276E-07
40183.56,8.04967098001771E-07
40183.57,8.15804890386657E-07
40183.58,7.65735081610559E-07
40183.59,7.75361347224211E-07
40183.6,7.69537448165706E-07
40183.61,7.84846341533189E-07
40183.62,7.75969781312613E-07
40183.63,7.95329343734427E-07
40183.64,8.0679957927752E-07
40183.65,7.79551549761687E-07
40183.66,8.11029160470355E-07
40183.67,8.14113834242442E-07
40183.68,8.28864166893894E-07
40183.69,8.55775444680042E-07
40183.7,8.29355323693409E-07
40183.71,8.2481030102898E-07
40183.72,8.03834958971171E-07
40183.73,7.81531666071928E-07
40183.74,7.86569939866556E-07
40183.75,7.93027683807686E-07
40183.76,8.21527270741634E-07
40183.77,8.51112720202516E-07
40183.78,8.46814873850127E-07
40183.79,8.23823201151684E-07
40183.8,8.97329509860148E-07
40183.81,9.46055508078088E-07
40183.82,9.35002146421333E-07
40183.83,9.03616264882577E-07
40183.84,8.86784703728959E-07
40183.85,8.88051923399101E-07
40183.86,9.10454292361951E-07
40183.87,9.28287404121741E-07
40183.88,9.31808891254619E-07
40183.89,9.1763202552476E-07
40183.9,9.1464705289823E-07
40183.91,8.99724746864462E-07
40183.92,8.94995928364971E-07
40183.93,8.86143603624038E-07
40183.94,8.93116570810603E-07
40183.95,8.4171063492607E-07
40183.96,8.29690161532052E-07
40183.97,8.19501132045284E-07
40183.98,7.91166176876327E-07
40183.99,7.85417530809509E-07
40184,7.610851745263E-07
40184.01,7.46407555407404E-07
40184.02,7.40193445466663E-07
40184.03,7.34983515727575E-07
40184.04,7.23519982763497E-07
40184.05,7.4656892313724E-07
40184.06,7.50361687846528E-07
40184.07,7.5652883401167E-07
40184.08,7.60583848117298E-07
40184.09,7.45601671722492E-07
40184.1,7.27102305699741E-07
40184.11,7.4445824420019E-07
40184.12,7.36717614285516E-07
40184.13,7.01203850468714E-07
40184.14,6.60784690434111E-07
40184.15,6.67445729471901E-07
40184.16,6.56199066868775E-07
40184.17,6.5763901343148E-07
40184.18,6.50285218856085E-07
40184.19,6.45762503418752E-07
40184.2,6.45605344173826E-07
40184.21,6.26476497101627E-07
40184.22,6.29695403922279E-07
40184.23,6.50653478778519E-07
40184.24,6.66031558519116E-07
40184.25,6.36643642600474E-07
40184.26,6.16367096522549E-07
40184.27,5.97613090115603E-07
40184.28,5.97818573802871E-07
40184.29,6.16559459693629E-07
40184.3,6.25792829262294E-07
40184.31,5.99247770373404E-07
40184.32,6.04336803544826E-07
40184.33,6.22084309327581E-07
40184.34,6.17699642854964E-07
40184.35,6.54852366563101E-07
40184.36,6.45197936182608E-07
40184.37,6.68998209618644E-07
40184.38,7.15671329598871E-07
40184.39,6.90474796119156E-07
40184.4,6.84926071295664E-07
40184.41,6.96744762037214E-07
40184.42,7.61976748211493E-07
40184.43,7.22862334809923E-07
40184.44,7.33497061802228E-07
40184.45,7.38046663957422E-07
40184.46,7.27990579478056E-07
40184.47,7.10252892931096E-07
40184.48,6.9954991934351E-07
40184.49,6.93657101525656E-07
40184.5,6.69808685367607E-07
40184.51,7.00799534987832E-07
40184.52,6.79399310324908E-07
40184.53,6.7198929250663E-07
40184.54,6.6075675629334E-07
40184.55,6.54618227105177E-07
40184.56,6.57917196498716E-07
40184.57,6.45667469700654E-07
40184.58,6.43321968069732E-07
40184.59,6.76863335042106E-07
40184.6,6.97659704170915E-07
40184.61,6.91935804970714E-07
40184.62,7.09581935009974E-07
40184.63,6.93928304856445E-07
40184.64,6.98173832672952E-07
40184.65,6.70760453553298E-07
40184.66,6.50518937102643E-07
40184.67,6.36501293360812E-07
40184.68,6.60737952376552E-07
40184.69,6.66008425770948E-07
40184.7,6.77010924788244E-07
40184.71,6.80216336826007E-07
40184.72,6.87393894075195E-07
40184.73,6.95346521266362E-07
40184.74,7.09820035136652E-07
40184.75,7.11955370910984E-07
40184.76,6.92972259996818E-07
40184.77,6.77529663986285E-07
40184.78,7.0089429440924E-07
40184.79,7.28050917044761E-07
40184.8,7.37464259264245E-07
40184.81,7.02328000483733E-07
40184.82,7.32704800258869E-07
40184.83,7.37055089766344E-07
40184.84,7.33105089644483E-07
40184.85,7.31206191618332E-07
40184.86,7.21466282777825E-07
40184.87,7.55552960747705E-07
40184.88,7.88130666099056E-07
40184.89,7.6052548863253E-07
40184.9,7.52940046847693E-07
40184.91,7.5596113132915E-07
40184.92,7.79581955069184E-07
40184.93,7.24540745939111E-07
40184.94,7.41236065681564E-07
40184.95,7.73255879889153E-07
40184.96,7.61806880435753E-07
40184.97,7.56843189862303E-07
40184.98,7.79565163442673E-07
40184.99,7.82755540528909E-07
40185,7.4934533758551E-07
40185.01,7.21841201778453E-07
40185.02,6.98986537759965E-07
40185.03,6.70442563380882E-07
40185.04,6.69812846281858E-07
40185.05,6.59710130152548E-07
40185.06,6.6031335146972E-07
40185.07,6.73191235683333E-07
40185.08,7.06661441380659E-07
40185.09,7.08769913977235E-07
40185.1,6.70884220770969E-07
40185.11,6.96563526218038E-07
40185.12,6.92474887055867E-07
40185.13,7.13523966707184E-07
40185.14,7.02101737360856E-07
40185.15,7.05895712650543E-07
40185.16,7.00933247484878E-07
40185.17,6.98278524126045E-07
40185.18,7.21328972769003E-07
40185.19,7.05289777710396E-07
40185.2,7.06066067181353E-07
40185.21,7.07887775107396E-07
40185.22,6.97711619346444E-07
40185.23,6.54261035433861E-07
40185.24,6.60170890599755E-07
40185.25,6.09414058485161E-07
40185.26,5.85609343942675E-07
40185.27,5.80166211420628E-07
40185.28,5.89334029236958E-07
40185.29,6.05490453728022E-07
40185.3,6.20812098602836E-07
40185.31,6.318000832083E-07
40185.32,6.25606150342527E-07
40185.33,6.47473503814115E-07
40185.34,6.42182918870342E-07
40185.35,6.62162740075198E-07
40185.36,6.21197170597255E-07
40185.37,6.05378687581711E-07
40185.38,5.96771097204945E-07
40185.39,5.98045942731732E-07
40185.4,5.60749347494726E-07
40185.41,5.76180745843387E-07
40185.42,5.94290814912739E-07
40185.43,6.08783616802424E-07
40185.44,6.00851175031189E-07
40185.45,6.26692863743996E-07
40185.46,6.17243336863592E-07
40185.47,6.33355869652135E-07
40185.48,6.32016661435373E-07
40185.49,6.31398547043315E-07
40185.5,6.28399612905107E-07
40185.51,6.27837092968739E-07
40185.52,6.47316342427895E-07
40185.53,6.72666595970563E-07
40185.54,6.97701878279549E-07
40185.55,7.12251889894412E-07
40185.56,7.21651041313264E-07
40185.57,7.26390778982132E-07
40185.58,7.57964404162409E-07
40185.59,7.4276126870788E-07
40185.6,7.24584724725727E-07
40185.61,7.21104610364383E-07
40185.62,6.84361403496973E-07
40185.63,6.7716742647182E-07
40185.64,6.73628827590965E-07
40185.65,6.52431705395051E-07
40185.66,6.40640059112151E-07
40185.67,6.52103266623399E-07
40185.68,6.4646997426217E-07
40185.69,6.46550516465804E-07
40185.7,6.64031107538185E-07
40185.71,6.5078429773219E-07
40185.72,6.28964700824863E-07
40185.73,6.2757888647803E-07
40185.74,6.34374343443135E-07
40185.75,6.02366625013559E-07
40185.76,6.13769021655117E-07
40185.77,6.08293220788748E-07
40185.78,6.01587690492666E-07
40185.79,5.87981662111649E-07
40185.8,5.86093515482423E-07
40185.81,6.03204644317753E-07
40185.82,6.1264782509462E-07
40185.83,6.26763974360821E-07
40185.84,6.20071092926191E-07
40185.85,6.47979887906368E-07
40185.86,6.70058295825475E-07
40185.87,6.67554812512501E-07
40185.88,6.18711836155733E-07
40185.89,6.19698004815421E-07
40185.9,6.68822049534439E-07
40185.91,6.6569267252985E-07
40185.92,6.45172738468739E-07
40185.93,6.75260117098367E-07
40185.94,6.61473381916914E-07
40185.95,6.68771874042714E-07
40185.96,1.2979748554707E-05
40185.97,2.62168134995802E-05
40185.98,4.00886637541425E-05
40185.99,5.56289794758797E-05
40186,6.9052401187181E-05
40186.01,8.44534166792407E-05
40186.02,9.83989717263212E-05
40186.03,0.000115578346500897
40186.04,0.000308124215566928
40186.05,0.000512535496272933
40186.06,0.000741444882967967
40186.07,0.000921698621660473
40186.08,0.00101751060374595
40186.09,0.00107095943531038
40186.1,0.00111314544413357
40186.11,0.00108262826645464
40186.12,0.000967061637765276
40186.13,0.000841325407314641
40186.14,0.000695791804677407
40186.15,0.000603417667439598
40186.16,0.00064096033136699
40186.17,0.0007579004114433
40186.18,0.000867100412740479
40186.19,0.000984887064063969
40186.2,0.000957195191033256
40186.21,0.00087263188308717
40186.22,0.000699360780277323
40186.23,2.6607980094467E-05
40186.24,2.55227985004235E-05
40186.25,2.5301112673509E-05
40186.26,2.54023467394342E-05
40186.27,2.572864600944E-05
40186.28,2.47773169005115E-05
40186.29,2.39735302410206E-05
40186.3,2.3802173537208E-05
40186.31,2.37613794383656E-05
40186.32,2.3916822257999E-05
40186.33,2.3409760881515E-05
40186.34,2.25109832597007E-05
40186.35,2.12791243897702E-05
40186.36,2.19372793224157E-05
40186.37,2.06976829080051E-05
40186.38,2.07120099447188E-05
40186.39,2.0465345356252E-05
40186.4,2.04843442400774E-05
40186.41,2.05912478918444E-05
40186.42,2.09013180886021E-05
40186.43,2.0369893743372E-05
40186.44,2.01028036733832E-05
40186.45,1.85758534317192E-05
40186.46,1.81791892567413E-05
40186.47,1.73211902250132E-05
40186.48,1.68640139634417E-05
40186.49,1.70615509131727E-05
40186.5,1.66995983222508E-05
40186.51,1.67896587068537E-05
40186.52,0.0000162606143719
40186.53,1.60107486222402E-05
40186.54,1.54002372371405E-05
40186.55,1.39630332241902E-05
40186.56,1.33504513453226E-05
40186.57,1.29262247819137E-05
40186.58,1.2658679004739E-05
40186.59,1.23326203472558E-05
40186.6,1.19631204409336E-05
40186.61,1.19478524066924E-05
40186.62,1.18042858994619E-05
40186.63,1.13189177126226E-05
40186.64,1.12375270771116E-05
40186.65,1.02870917283002E-05
40186.66,9.88421985940289E-06
40186.67,9.52489750909269E-06
40186.68,9.54524241091361E-06
40186.69,9.06516962223988E-06
40186.7,8.38228646519517E-06
40186.71,8.11444760700503E-06
40186.72,8.17728668123779E-06
40186.73,7.78880740876276E-06
40186.74,7.64886059636827E-06
40186.75,7.48845700126832E-06
40186.76,7.38369495943145E-06
40186.77,7.53505054007904E-06
40186.78,7.81850001919837E-06
40186.79,7.76546326807011E-06
40186.8,7.58569678715967E-06
40186.81,7.82324805608162E-06
40186.82,7.66848355624116E-06
40186.83,7.50830762301458E-06
40186.84,7.26426330828646E-06
40186.85,7.03818608752755E-06
40186.86,6.92635838236447E-06
40186.87,6.71403719494518E-06
40186.88,6.6374675434838E-06
40186.89,6.4981028430798E-06
40186.9,6.44175261367296E-06
40186.91,6.21661989414484E-06
40186.92,6.03047198444726E-06
40186.93,5.92171920221117E-06
40186.94,5.78315665082231E-06
40186.95,5.65030086965005E-06
40186.96,5.68384216894555E-06
40186.97,5.36386447270151E-06
40186.98,4.94507698935209E-06
40186.99,4.91679765417691E-06
40187,4.7527653269873E-06
40187.01,4.7997662316807E-06
40187.02,4.64830135245465E-06
40187.03,4.36593358633209E-06
40187.04,4.50407424171939E-06
40187.05,4.40715960315497E-06
40187.06,4.20656251134661E-06
40187.07,3.98065472222818E-06
40187.08,3.90634213137234E-06
40187.09,3.69806728797344E-06
40187.1,3.60484425114456E-06
40187.11,3.63863278911929E-06
40187.12,3.46800530145323E-06
40187.13,3.40684772286996E-06
40187.14,3.42663605711479E-06
40187.15,3.55947064193601E-06
40187.16,3.61685527889528E-06
40187.17,3.53350838281596E-06
40187.18,3.64278111718159E-06
40187.19,3.56526892149233E-06
40187.2,3.51034029247025E-06
40187.21,3.50950849799775E-06
40187.22,3.36730580424301E-06
40187.23,3.63157208820478E-06
40187.24,3.70587892171282E-06
40187.25,3.67644282484629E-06
40187.26,3.56845501426826E-06
40187.27,3.41031859005786E-06
40187.28,3.40549518070943E-06
40187.29,3.43033547203451E-06
40187.3,3.35018613320541E-06
40187.31,3.2924338871921E-06
40187.32,3.30504838116134E-06
40187.33,3.25984977283685E-06
40187.34,3.05983390537988E-06
40187.35,3.08668624143301E-06
40187.36,3.07544312850597E-06
40187.37,3.10524954352871E-06
40187.38,3.00667842354461E-06
40187.39,2.80533932009467E-06
40187.4,2.68828103494916E-06
40187.41,2.6925122913788E-06
40187.42,2.83208405227364E-06
40187.43,2.99461631539099E-06
40187.44,2.98392419512281E-06
40187.45,2.83099518210268E-06
40187.46,2.7754536413896E-06
40187.47,2.78189025027251E-06
40187.48,2.78626049646958E-06
40187.49,2.76313064475256E-06
40187.5,2.83624981990609E-06
40187.51,2.73231056451343E-06
40187.52,2.54408722285803E-06
40187.53,2.46093020553868E-06
