t,Obs_Soil Moisture_expression_noisy
40178.8,0.310267917113396
40178.81,0.311490316710263
40178.82,0.315897430378923
40178.83,0.312906379907928
40178.84,0.312587183229816
40178.85,0.313275851338455
40178.86,0.306704945937606
40178.87,0.306626746589989
40178.88,0.315788691357297
40178.89,0.324028795291904
40178.9,0.320117894233763
40178.91,0.312834345595776
40178.92,0.305481007276387
40178.93,0.306710145650935
40178.94,0.305501530018553
40178.95,0.309507013559293
40178.96,0.309933135382366
40178.97,0.312184095355599
40178.98,0.315963914783034
40178.99,0.315984212266398
40179,0.32095004715871
40179.01,0.325703423219679
40179.02,0.323762464545216
40179.03,0.327338351572925
40179.04,0.331614610498747
40179.05,0.321622328572935
40179.06,0.318334856238851
40179.07,0.321331968431724
40179.08,0.325846758671499
40179.09,0.330016328607674
40179.1,0.323448370629628
40179.11,0.322161604578912
40179.12,0.32246384329397
40179.13,0.325645985556902
40179.14,0.318205856067112
40179.15,0.326196254286344
40179.16,0.327320625465931
40179.17,0.336854819362584
40179.18,0.337973932558726
40179.19,0.34439369123072
40179.2,0.345972801790651
40179.21,0.338249153518448
40179.22,0.33659128048446
40179.23,0.340853164153999
40179.24,0.339075994481734
40179.25,0.344857456547358
40179.26,0.342485840936461
40179.27,0.338590623247434
40179.28,0.338154603192428
40179.29,0.345599593188013
40179.3,0.34478369444319
40179.31,0.337756423033735
40179.32,0.337660314397644
40179.33,0.330567731368185
40179.34,0.328233255822405
40179.35,0.327513345496274
40179.36,0.332305875636621
40179.37,0.333492364676254
40179.38,0.332498773404674
40179.39,0.330070605756923
40179.4,0.329569512180736
40179.41,0.323045407456227
40179.42,0.325613398507503
40179.43,0.326218742321059
40179.44,0.331577644911992
40179.45,0.332438411954387
40179.46,0.330603168269793
40179.47,0.336816465192754
40179.48,0.336555776286574
40179.49,0.334649444259654
40179.5,0.332623905346749
40179.51,0.332229466906109
40179.52,0.337196090685416
40179.53,0.328871940574855
40179.54,0.323756973690449
40179.55,0.318675389463849
40179.56,0.309146957601528
40179.57,0.30937961998794
40179.58,0.309163386753305
40179.59,0.305356362427538
40179.6,0.306121737276029
40179.61,0.305613257931801
40179.62,0.301847377144247
40179.63,0.303015922756546
40179.64,0.296980034174681
40179.65,0.303897166805895
40179.66,0.316226938538372
40179.67,0.31586778502701
40179.68,0.317135708283606
40179.69,0.324620331388521
40179.7,0.327500185841519
40179.71,0.32401671939721
40179.72,0.321664452142932
40179.73,0.329660587534879
40179.74,0.327153773137376
40179.75,0.330724748344515
40179.76,0.323450418787585
40179.77,0.321992613641238
40179.78,0.321961244121743
40179.79,0.327386938544213
40179.8,0.336144621346789
40179.81,0.343704571296279
40179.82,0.337860245277759
40179.83,0.33529376857914
40179.84,0.330699528135732
40179.85,0.327491384762676
40179.86,0.328706214568214
40179.87,0.32717187625569
40179.88,0.330781692174589
40179.89,0.320450057618715
40179.9,0.319006152074645
40179.91,0.323717956295076
40179.92,0.317906667428217
40179.93,0.314735689992052
40179.94,0.313415740967277
40179.95,0.311087540727652
40179.96,0.316800802762785
40179.97,0.31866194665929
40179.98,0.325914247201222
40179.99,0.323928110379315
40180,0.328420124893132
40180.01,0.326085790408658
40180.02,0.325308049885458
40180.03,0.324611853887912
40180.04,0.32316906199294
40180.05,0.313460711353047
40180.06,0.316438249469691
40180.07,0.31292691294418
40180.08,0.311685114734002
40180.09,0.319521291059512
40180.1,0.316991866526355
40180.11,0.321005950853539
40180.12,0.319685300848729
40180.13,0.317428754444331
40180.14,0.323240044457332
40180.15,0.323186285625974
40180.16,0.321916796155378
40180.17,0.322966096525035
40180.18,0.325040259168894
40180.19,0.316803204384008
40180.2,0.318270310427744
40180.21,0.313953671668906
40180.22,0.307333591272452
40180.23,0.308302191886052
40180.24,0.302738952022542
40180.25,0.297925886337075
40180.26,0.295720170175254
40180.27,0.294850273227252
40180.28,0.301276197020017
40180.29,0.300528323600969
40180.3,0.29435220010497
40180.31,0.291579070985174
40180.32,0.299202939774334
40180.33,0.302566364356655
