t, Obs_Pond water depth (m)_expression
40180.78000,1.1886e-06
40180.79000,1.18622e-06
40180.80000,1.18384e-06
40180.81000,1.18147e-06
40180.82000,1.17909e-06
40180.83000,1.17671e-06
40180.84000,1.17434e-06
40180.85000,1.17196e-06
40180.86000,1.16961e-06
40180.87000,1.16726e-06
40180.88000,1.1649e-06
40180.89000,1.16255e-06
40180.90000,1.1602e-06
40180.91000,1.15784e-06
40180.92000,1.15549e-06
40180.93000,1.15317e-06
40180.94000,1.15087e-06
40180.95000,1.14858e-06
40180.96000,1.14628e-06
40180.97000,1.14398e-06
40180.98000,1.14168e-06
40180.99000,1.13939e-06
40181.00000,1.13709e-06
40181.01000,1.13479e-06
40181.02000,1.1325e-06
40181.03000,1.13026e-06
40181.04000,1.12805e-06
40181.05000,1.12585e-06
40181.06000,1.12364e-06
40181.07000,1.12144e-06
40181.08000,1.11923e-06
40181.09000,1.11702e-06
40181.10000,1.11482e-06
40181.11000,1.11261e-06
40181.12000,1.11041e-06
40181.13000,1.1082e-06
40181.14000,1.106e-06
40181.15000,1.10379e-06
40181.16000,1.10177e-06
40181.17000,1.10016e-06
40181.18000,1.09855e-06
40181.19000,1.09694e-06
40181.20000,1.09534e-06
40181.21000,1.09373e-06
40181.22000,1.09212e-06
40181.23000,1.09051e-06
40181.24000,1.0889e-06
40181.25000,1.08729e-06
40181.26000,1.08568e-06
40181.27000,1.08407e-06
40181.28000,1.08246e-06
40181.29000,1.08085e-06
40181.30000,1.07924e-06
40181.31000,1.07763e-06
40181.32000,1.07602e-06
40181.33000,1.07441e-06
40181.34000,1.07274e-06
40181.35000,1.07102e-06
40181.36000,1.06929e-06
40181.37000,1.06757e-06
40181.38000,1.06585e-06
40181.39000,1.06413e-06
40181.40000,1.06241e-06
40181.41000,1.06068e-06
40181.42000,1.05896e-06
40181.43000,1.05724e-06
40181.44000,1.05552e-06
40181.45000,1.0538e-06
40181.46000,1.05207e-06
40181.47000,1.05035e-06
40181.48000,1.04863e-06
40181.49000,1.04691e-06
40181.50000,1.04518e-06
40181.51000,1.04346e-06
40181.52000,1.04198e-06
40181.53000,1.04056e-06
40181.54000,1.03914e-06
40181.55000,1.03772e-06
40181.56000,1.0363e-06
40181.57000,1.03487e-06
40181.58000,1.03345e-06
40181.59000,1.03203e-06
40181.60000,1.03061e-06
40181.61000,1.02919e-06
40181.62000,1.02777e-06
40181.63000,1.02635e-06
40181.64000,1.02493e-06
40181.65000,1.0235e-06
40181.66000,1.02208e-06
40181.67000,1.02066e-06
40181.68000,1.01924e-06
40181.69000,1.01782e-06
40181.70000,1.01649e-06
40181.71000,1.01515e-06
40181.72000,1.01381e-06
40181.73000,1.01247e-06
40181.74000,1.01113e-06
40181.75000,1.0098e-06
40181.76000,1.00846e-06
40181.77000,1.00712e-06
40181.78000,1.00578e-06
40181.79000,1.00444e-06
40181.80000,1.00311e-06
40181.81000,1.00177e-06
40181.82000,1.00043e-06
40181.83000,9.99093e-07
40181.84000,9.97755e-07
40181.85000,9.96418e-07
40181.86000,9.9508e-07
40181.87000,9.93752e-07
40181.88000,9.92451e-07
40181.89000,9.91149e-07
40181.90000,9.89848e-07
40181.91000,9.88547e-07
40181.92000,9.87245e-07
40181.93000,9.85944e-07
40181.94000,9.84643e-07
40181.95000,9.83341e-07
40181.96000,9.8204e-07
40181.97000,9.80739e-07
40181.98000,9.79437e-07
40181.99000,9.78136e-07
40182.00000,9.76835e-07
40182.01000,9.75533e-07
40182.02000,9.74232e-07
